Ticker,PnL%,Reason,Hold,EntryDate,ExitDate
CHALET.NS,-3.39,Tight Trail -8%,4,2021-11-22,2021-11-26
TATAPOWER.NS,-3.95,Tight Trail -8%,7,2021-11-22,2021-11-29
DBREALTY.NS,-3.79,Tight Trail -8%,7,2021-11-22,2021-11-29
SOLARINDS.NS,-7.28,Tight Trail -8%,7,2021-11-22,2021-11-29
ATGL.NS,20.38,Target +20%,49,2021-10-20,2021-12-08
LODHA.NS,-0.29,Tight Trail -8%,21,2021-11-22,2021-12-13
IEX.NS,1.99,Tight Trail -8%,23,2021-11-22,2021-12-15
JPPOWER.NS,28.0,Target +20%,7,2021-12-21,2021-12-28
FLUOROCHEM.NS,23.82,Target +20%,15,2021-12-21,2022-01-05
METROPOLIS.NS,-4.19,Tight Trail -8%,21,2021-12-21,2022-01-11
CLEAN.NS,7.04,Tight Trail -8%,28,2021-12-21,2022-01-18
CDSL.NS,2.34,Tight Trail -8%,34,2021-12-21,2022-01-24
JPPOWER.NS,-3.83,Tight Trail -8%,5,2022-01-19,2022-01-24
SOBHA.NS,-13.38,Tight Trail -8%,5,2022-01-19,2022-01-24
FLUOROCHEM.NS,-10.78,Tight Trail -8%,8,2022-01-19,2022-01-27
SKFINDIA.NS,-2.99,Tight Trail -8%,41,2021-12-21,2022-01-31
DBREALTY.NS,23.02,Target +20%,15,2022-01-19,2022-02-03
TORNTPOWER.NS,-2.36,Tight Trail -8%,48,2021-12-21,2022-02-07
ATGL.NS,0.82,Tight Trail -8%,55,2021-12-21,2022-02-14
JPPOWER.NS,-8.18,Tight Trail -8%,3,2022-02-18,2022-02-21
ADANIPOWER.NS,-8.7,Tight Trail -8%,3,2022-02-18,2022-02-21
DBREALTY.NS,-9.69,Tight Trail -8%,4,2022-02-18,2022-02-22
LINDEINDIA.NS,-0.62,Tight Trail -8%,6,2022-02-18,2022-02-24
FLUOROCHEM.NS,-8.07,Tight Trail -8%,7,2022-02-18,2022-02-25
JSWENERGY.NS,-8.06,Tight Trail -8%,17,2022-02-18,2022-03-07
ANGELONE.NS,24.63,Target +20%,27,2022-02-18,2022-03-17
LEMONTREE.NS,20.16,Target +20%,5,2022-03-23,2022-03-28
HSCL.NS,27.16,Target +20%,39,2022-02-18,2022-03-29
ADANIPOWER.NS,33.29,Target +20%,6,2022-03-23,2022-03-29
LINDEINDIA.NS,0.69,Tight Trail -8%,26,2022-03-23,2022-04-18
DBREALTY.NS,-3.49,Tight Trail -8%,27,2022-03-23,2022-04-19
CHALET.NS,-5.72,Tight Trail -8%,27,2022-03-23,2022-04-19
TIMKEN.NS,-9.21,Tight Trail -8%,34,2022-03-23,2022-04-26
GAIL.NS,8.39,Tight Trail -8%,35,2022-03-23,2022-04-27
FLUOROCHEM.NS,-6.95,Tight Trail -8%,40,2022-03-23,2022-05-02
ANGELONE.NS,3.97,Tight Trail -8%,42,2022-03-23,2022-05-04
ADANIPOWER.NS,-2.1,Tight Trail -8%,9,2022-04-25,2022-05-04
LEMONTREE.NS,-5.33,Tight Trail -8%,14,2022-04-25,2022-05-09
ATGL.NS,-2.68,Tight Trail -8%,16,2022-04-25,2022-05-11
LINDEINDIA.NS,-5.58,Tight Trail -8%,16,2022-04-25,2022-05-11
ADANIPOWER.NS,2.59,Tight Trail -8%,7,2022-05-25,2022-06-01
PHOENIXLTD.NS,-2.71,Tight Trail -8%,21,2022-05-25,2022-06-15
GODFRYPHLP.NS,-5.76,Tight Trail -8%,23,2022-05-25,2022-06-17
ICICIPRULI.NS,-2.46,Tight Trail -8%,23,2022-05-25,2022-06-17
HDFCLIFE.NS,-2.94,Tight Trail -8%,23,2022-05-25,2022-06-17
STARHEALTH.NS,-12.18,Tight Trail -8%,23,2022-05-25,2022-06-17
TIMKEN.NS,20.68,Target +20%,26,2022-06-23,2022-07-19
LODHA.NS,1.46,Tight Trail -8%,42,2022-06-23,2022-08-04
MFSL.NS,-0.71,Tight Trail -8%,46,2022-06-23,2022-08-08
ANANTRAJ.NS,-3.9,Tight Trail -8%,17,2022-07-22,2022-08-08
CHALET.NS,20.45,Target +20%,54,2022-06-23,2022-08-16
PHOENIXLTD.NS,20.18,Target +20%,56,2022-06-23,2022-08-18
HSCL.NS,20.2,Target +20%,27,2022-07-22,2022-08-18
SKFINDIA.NS,20.56,Target +20%,39,2022-07-22,2022-08-30
RPOWER.NS,31.7,Target +20%,8,2022-08-24,2022-09-01
ANANTRAJ.NS,25.52,Target +20%,9,2022-08-24,2022-09-02
TIMKEN.NS,21.87,Target +20%,48,2022-07-22,2022-09-08
BASF.NS,-10.26,Tight Trail -8%,23,2022-08-24,2022-09-16
SOBHA.NS,-5.11,Tight Trail -8%,26,2022-08-24,2022-09-19
HSCL.NS,2.32,Tight Trail -8%,33,2022-08-24,2022-09-26
ATGL.NS,-1.66,Tight Trail -8%,33,2022-08-24,2022-09-26
SOLARINDS.NS,0.06,Tight Trail -8%,33,2022-08-24,2022-09-26
DBREALTY.NS,-9.72,Tight Trail -8%,4,2022-09-23,2022-09-27
ANANTRAJ.NS,-8.43,Tight Trail -8%,5,2022-09-23,2022-09-28
EIHOTEL.NS,-8.02,Tight Trail -8%,19,2022-09-23,2022-10-12
FLUOROCHEM.NS,8.97,Tight Trail -8%,56,2022-08-24,2022-10-19
VIJAYA.NS,-8.9,Tight Trail -8%,6,2022-10-25,2022-10-31
LALPATHLAB.NS,-8.35,Tight Trail -8%,15,2022-10-25,2022-11-09
FLUOROCHEM.NS,-6.1,Tight Trail -8%,17,2022-10-25,2022-11-11
EIHOTEL.NS,-6.41,Tight Trail -8%,20,2022-10-25,2022-11-14
HSCL.NS,-6.34,Tight Trail -8%,20,2022-10-25,2022-11-14
GODFRYPHLP.NS,24.81,Target +20%,23,2022-10-25,2022-11-17
ANANTRAJ.NS,0.61,Tight Trail -8%,24,2022-10-25,2022-11-18
DBREALTY.NS,1.67,Tight Trail -8%,27,2022-10-25,2022-11-21
CHOICEIN.NS,2.39,Tight Trail -8%,27,2022-10-25,2022-11-21
SOLARINDS.NS,-3.26,Tight Trail -8%,31,2022-10-25,2022-11-25
VIJAYA.NS,-0.85,Tight Trail -8%,12,2022-11-25,2022-12-07
TATAINVEST.NS,-7.37,Tight Trail -8%,76,2022-09-23,2022-12-08
LEMONTREE.NS,9.1,Tight Trail -8%,45,2022-10-25,2022-12-09
ANGELONE.NS,-3.5,Tight Trail -8%,17,2022-11-25,2022-12-12
PCBL.NS,-4.4,Tight Trail -8%,17,2022-11-25,2022-12-12
TIMKEN.NS,-8.27,Tight Trail -8%,24,2022-11-25,2022-12-19
JMFINANCIL.NS,3.06,Tight Trail -8%,26,2022-11-25,2022-12-21
GODFRYPHLP.NS,4.44,Tight Trail -8%,27,2022-11-25,2022-12-22
CHOICEIN.NS,-9.44,Tight Trail -8%,27,2022-11-25,2022-12-22
ANANTRAJ.NS,-13.35,Tight Trail -8%,28,2022-11-25,2022-12-23
GSPL.NS,-8.88,Tight Trail -8%,28,2022-11-25,2022-12-23
GICRE.NS,21.08,Target +20%,9,2022-12-26,2023-01-04
NIACL.NS,20.86,Target +20%,9,2022-12-26,2023-01-04
JUBLINGREA.NS,-5.12,Tight Trail -8%,52,2022-11-25,2023-01-16
GODFRYPHLP.NS,7.87,Tight Trail -8%,21,2022-12-26,2023-01-16
LICI.NS,-3.2,Tight Trail -8%,32,2022-12-26,2023-01-27
ATGL.NS,-24.76,Tight Trail -8%,3,2023-01-24,2023-01-27
ANANTRAJ.NS,-9.03,Tight Trail -8%,3,2023-01-24,2023-01-27
GICRE.NS,-12.43,Tight Trail -8%,8,2023-01-24,2023-02-01
NIACL.NS,-13.19,Tight Trail -8%,8,2023-01-24,2023-02-01
GSPL.NS,-1.03,Tight Trail -8%,39,2022-12-26,2023-02-03
LODHA.NS,-9.57,Tight Trail -8%,10,2023-01-24,2023-02-03
GODFRYPHLP.NS,-6.38,Tight Trail -8%,13,2023-01-24,2023-02-06
LINDEINDIA.NS,-4.58,Tight Trail -8%,19,2023-02-23,2023-03-14
VIJAYA.NS,-9.79,Tight Trail -8%,1,2023-03-27,2023-03-28
POLICYBZR.NS,22.5,Target +20%,36,2023-02-23,2023-03-31
ANANTRAJ.NS,20.64,Target +20%,42,2023-02-23,2023-04-06
CHOICEIN.NS,20.37,Target +20%,32,2023-03-27,2023-04-28
HSCL.NS,21.57,Target +20%,23,2023-05-02,2023-05-25
STARHEALTH.NS,-11.84,Tight Trail -8%,24,2023-05-02,2023-05-26
TORNTPOWER.NS,20.8,Target +20%,70,2023-03-27,2023-06-05
FLUOROCHEM.NS,-6.82,Tight Trail -8%,41,2023-05-02,2023-06-12
