regime,trend,volume,horizon,n,avg_ret,median_ret,win_rate,avg_winner,avg_loser,payoff_ratio,max_dd,sharpe,sortino,calmar,var_95,cvar_95,worst_trade,best_trade
Strong_Bear,80-100,Flat,90,238,14.51,12.17,78.6,20.68,-8.12,2.55,45.74,1.24,3.49,0.32,-10.74,-18.35,-28.77,116.28
Strong_Bear,80-100,Big_Drop,60,104,8.29,6.17,71.2,15.1,-8.52,1.77,31.72,1.11,2.63,0.26,-11.22,-18.12,-29.75,53.63
Strong_Bear,80-100,Big_Drop,90,104,11.89,10.35,76.0,18.15,-7.87,2.31,31.72,1.1,2.98,0.37,-15.89,-17.98,-21.02,107.18
Strong_Bear,80-100,Drop,60,89,6.39,6.86,69.7,12.26,-7.08,1.73,29.2,1.11,2.15,0.22,-11.96,-17.84,-20.13,39.32
Strong_Bear,80-100,Drop,90,89,10.47,10.96,74.2,16.64,-7.24,2.3,29.2,1.12,3.55,0.36,-9.71,-13.7,-20.31,62.94
Strong_Bear,80-100,Jump,60,60,9.0,6.51,78.3,13.14,-6.0,2.19,26.94,1.5,3.09,0.33,-10.31,-14.58,-17.0,39.52
Strong_Bear,80-100,Jump,90,60,12.86,13.31,81.7,17.68,-8.6,2.05,28.8,1.45,2.96,0.45,-10.18,-17.92,-24.15,51.92
Strong_Bear,60-80,Spike,60,29,7.17,2.18,58.6,17.98,-8.13,2.21,33.5,0.69,2.14,0.21,-17.06,-19.81,-20.01,91.88
Strong_Bear,60-80,Spike,90,29,14.14,9.66,72.4,22.87,-8.76,2.61,33.5,0.75,4.44,0.42,-13.06,-14.78,-16.35,157.59
Strong_Bear,60-80,Flat,60,121,8.85,7.03,70.2,16.07,-8.18,1.96,34.35,1.11,3.46,0.26,-13.4,-16.2,-21.66,88.17
Strong_Bear,60-80,Flat,90,121,13.04,8.94,75.2,19.65,-7.01,2.8,41.59,1.03,5.19,0.31,-9.6,-12.93,-15.79,134.36
Strong_Bear,60-80,Big_Drop,60,62,3.79,2.66,54.8,14.16,-8.81,1.61,41.94,0.52,1.06,0.09,-15.99,-21.21,-35.48,37.02
Strong_Bear,60-80,Big_Drop,90,62,6.28,2.83,62.9,15.59,-9.51,1.64,41.94,0.6,1.94,0.15,-16.48,-17.74,-19.63,52.89
Strong_Bear,60-80,Drop,60,55,6.75,5.64,72.7,12.4,-8.33,1.49,33.5,1.0,1.89,0.2,-16.11,-19.89,-21.29,42.65
Strong_Bear,60-80,Drop,90,55,10.01,8.79,78.2,15.6,-10.05,1.55,33.5,1.01,2.33,0.3,-14.54,-19.69,-22.55,61.88
Strong_Bear,60-80,Jump,60,27,5.79,3.92,63.0,13.88,-7.95,1.75,27.09,0.83,1.59,0.21,-17.56,-21.44,-21.81,30.85
Strong_Bear,60-80,Jump,90,27,8.19,6.93,74.1,13.75,-7.69,1.79,27.09,0.93,2.76,0.3,-12.1,-14.08,-14.95,53.12
Strong_Bear,20-40,Spike,60,39,6.69,3.81,59.0,16.61,-7.57,2.19,30.65,0.87,2.23,0.22,-12.5,-20.1,-22.18,42.21
Strong_Bear,20-40,Spike,90,39,11.24,7.64,66.7,20.66,-7.6,2.72,30.65,0.88,3.73,0.37,-11.3,-15.44,-18.26,89.76
Strong_Bear,20-40,Flat,60,231,14.37,9.54,77.5,20.46,-6.58,3.11,35.19,1.14,5.73,0.41,-9.51,-13.78,-22.56,169.66
Strong_Bear,20-40,Flat,90,231,16.33,10.08,74.9,23.94,-6.49,3.69,40.65,0.82,5.09,0.4,-10.22,-15.16,-22.39,271.64
