alert_id,alert_date,ticker,alert_type,message
144,2026-04-10 11:14:21,SYSTEM,BUY_ALERT,"🟢 *NEW BUY SIGNAL* 🟢\n*CUMMINSIND.NS*\nPrice: ₹5,138.70\nRS Score: 18.54"
145,2026-04-10 11:14:21,SYSTEM,BUY_ALERT,"🟢 *NEW BUY SIGNAL* 🟢\n*ADANIENSOL.NS*\nPrice: ₹1,157.90\nRS Score: 18.33"
146,2026-04-10 11:14:21,SYSTEM,BUY_ALERT,🟢 *NEW BUY SIGNAL* 🟢\n*JPPOWER.NS*\nPrice: ₹17.20\nRS Score: 17.88
147,2026-04-13 11:41:47,SYSTEM,BUY_ALERT,🟢 *NEW BUY SIGNAL* 🟢\n*EIEL.NS*\nPrice: ₹199.17\nRS Score: 26.2
148,2026-04-13 11:41:47,SYSTEM,BUY_ALERT,🟢 *NEW BUY SIGNAL* 🟢\n*NIACL.NS*\nPrice: ₹171.67\nRS Score: 24.85
149,2026-04-13 11:41:47,SYSTEM,BUY_ALERT,🟢 *NEW BUY SIGNAL* 🟢\n*SONACOMS.NS*\nPrice: ₹569.30\nRS Score: 19.07
150,2026-04-13 11:41:47,SYSTEM,BUY_ALERT,"🟢 *NEW BUY SIGNAL* 🟢\n*EPIGRAL.NS*\nPrice: ₹1,128.30\nRS Score: 18.76"
151,2026-04-13 11:41:47,SYSTEM,BUY_ALERT,🟢 *NEW BUY SIGNAL* 🟢\n*WAAREERTL.NS*\nPrice: ₹971.60\nRS Score: 17.58
152,2026-04-14 11:20:20,SYSTEM,BUY_ALERT,"🟢 *NEW BUY SIGNAL* 🟢\n*KIRLPNU.NS*\nPrice: ₹1,238.30\nRS Score: 17.36"
153,2026-04-14 11:20:20,SYSTEM,BUY_ALERT,🟢 *NEW BUY SIGNAL* 🟢\n*ATGL.NS*\nPrice: ₹572.40\nRS Score: 15.63
154,2026-04-14 11:20:20,SYSTEM,BUY_ALERT,"🟢 *NEW BUY SIGNAL* 🟢\n*STYRENIX.NS*\nPrice: ₹2,149.50\nRS Score: 15.61"
155,2026-04-14 11:20:20,SYSTEM,BUY_ALERT,"🟢 *NEW BUY SIGNAL* 🟢\n*WABAG.NS*\nPrice: ₹1,355.30\nRS Score: 15.41"
156,2026-04-14 11:20:20,SYSTEM,BUY_ALERT,"🟢 *NEW BUY SIGNAL* 🟢\n*KIRLOSBROS.NS*\nPrice: ₹1,757.20\nRS Score: 15.24"
157,2026-04-15 11:19:22,SYSTEM,BUY_ALERT,🟢 *NEW BUY SIGNAL* 🟢\n*YATHARTH.NS*\nPrice: ₹788.45\nRS Score: 17.12
158,2026-04-15 11:19:22,SYSTEM,BUY_ALERT,"🟢 *NEW BUY SIGNAL* 🟢\n*GRWRHITECH.NS*\nPrice: ₹4,014.70\nRS Score: 16.79"
159,2026-04-15 11:19:22,SYSTEM,BUY_ALERT,"🟢 *NEW BUY SIGNAL* 🟢\n*ISGEC.NS*\nPrice: ₹1,042.35\nRS Score: 16.72"
160,2026-04-15 11:19:22,SYSTEM,BUY_ALERT,"🟢 *NEW BUY SIGNAL* 🟢\n*IMFA.NS*\nPrice: ₹1,417.00\nRS Score: 16.57"
161,2026-04-15 11:19:22,SYSTEM,BUY_ALERT,"🟢 *NEW BUY SIGNAL* 🟢\n*AZAD.NS*\nPrice: ₹1,836.40\nRS Score: 16.44"
162,2026-04-16 11:21:03,SYSTEM,BUY_ALERT,🟢 *NEW BUY SIGNAL* 🟢\n*GMDCLTD.NS*\nPrice: ₹746.75\nRS Score: 35.15
163,2026-04-16 11:21:03,SYSTEM,BUY_ALERT,🟢 *NEW BUY SIGNAL* 🟢\n*SCI.NS*\nPrice: ₹288.93\nRS Score: 25.65
164,2026-04-16 11:21:03,SYSTEM,BUY_ALERT,🟢 *NEW BUY SIGNAL* 🟢\n*IFCI.NS*\nPrice: ₹60.73\nRS Score: 18.15
165,2026-04-16 11:21:03,SYSTEM,BUY_ALERT,"🟢 *NEW BUY SIGNAL* 🟢\n*AMBER.NS*\nPrice: ₹7,714.50\nRS Score: 16.86"
166,2026-04-16 11:21:03,SYSTEM,BUY_ALERT,🟢 *NEW BUY SIGNAL* 🟢\n*ENGINERSIN.NS*\nPrice: ₹228.32\nRS Score: 16.84
167,2026-04-17 11:14:00,SYSTEM,BUY_ALERT,🟢 *NEW BUY SIGNAL* 🟢\n*NAVA.NS*\nPrice: ₹703.10\nRS Score: 24.25
168,2026-04-17 11:14:00,SYSTEM,BUY_ALERT,🟢 *NEW BUY SIGNAL* 🟢\n*ABDL.NS*\nPrice: ₹573.80\nRS Score: 23.71
169,2026-04-17 11:14:00,SYSTEM,BUY_ALERT,🟢 *NEW BUY SIGNAL* 🟢\n*PARAS.NS*\nPrice: ₹809.15\nRS Score: 21.95
170,2026-04-17 11:14:00,SYSTEM,BUY_ALERT,🟢 *NEW BUY SIGNAL* 🟢\n*OSWALPUMPS.NS*\nPrice: ₹432.55\nRS Score: 21.51
171,2026-04-17 11:14:00,SYSTEM,BUY_ALERT,🟢 *NEW BUY SIGNAL* 🟢\n*LLOYDSENGG.NS*\nPrice: ₹55.86\nRS Score: 21.21
172,2026-04-20 11:44:02,SYSTEM,BUY_ALERT,🟢 *NEW BUY SIGNAL* 🟢\n*BHEL.NS*\nPrice: ₹325.63\nRS Score: 24.75
173,2026-04-20 11:44:02,SYSTEM,BUY_ALERT,🟢 *NEW BUY SIGNAL* 🟢\n*DIACABS.NS*\nPrice: ₹160.76\nRS Score: 23.66
174,2026-04-20 11:44:02,SYSTEM,BUY_ALERT,🟢 *NEW BUY SIGNAL* 🟢\n*CGPOWER.NS*\nPrice: ₹795.70\nRS Score: 22.71
