date,value,mode
2018-04-17,1339594.7090264708,FROG
2018-04-18,1345237.2983056456,FROG
2018-04-19,1349902.854259625,FROG
2018-04-20,1357184.8159142882,FROG
2018-04-23,1357301.4616662413,FROG
2018-04-24,1354455.7886926085,FROG
2018-04-25,1355572.96848692,FROG
2018-04-26,1365140.1730462462,FROG
2018-04-27,1368317.742717877,FROG
2018-04-30,1380892.8551141173,FROG
2018-05-02,1374918.4187737852,FROG
2018-05-03,1371412.5696679503,FROG
2018-05-04,1365937.7766076475,FROG
2018-05-07,1368022.2047082335,FROG
2018-05-08,1366911.979625836,FROG
2018-05-09,1365911.691501141,FROG
2018-05-10,1359565.1226211363,FROG
2018-05-11,1369748.810426312,FROG
2018-05-14,1370867.376988812,FROG
2018-05-15,1371826.9841665463,FROG
2018-05-16,1377687.5321249203,FROG
2018-05-17,1373363.0593466,FROG
2018-05-18,1376187.2354902462,FROG
2018-05-21,1372034.9812177853,FROG
2018-05-22,1373857.9440321163,FROG
2018-05-23,1371487.649705334,FROG
2018-05-24,1377332.5623029904,FROG
2018-05-25,1383657.6775373654,FROG
2018-05-28,1381110.5016035275,FROG
2018-05-29,1380422.2329115109,FROG
2018-05-30,1379079.2383741573,FROG
2018-05-31,1385706.5014661984,FROG
2018-06-01,1384361.6558241085,FROG
2018-06-04,1382327.1881422237,FROG
2018-06-05,1375421.1839352231,FROG
2018-06-06,1381084.5198727231,LEAP
2018-06-07,1388137.2933102231,LEAP
2018-06-08,1387422.173376141,LEAP
2018-06-11,1389514.6122494321,LEAP
2018-06-12,1393226.914770184,LEAP
2018-06-13,1396405.608709393,LEAP
2018-06-14,1391874.3141232114,LEAP
2018-06-15,1398791.0215206724,LEAP
2018-06-18,1394705.473150311,LEAP
2018-06-19,1389526.1422176939,LEAP
2018-06-20,1390454.2972775083,LEAP
2018-06-21,1392081.339910565,LEAP
2018-06-22,1393788.3519650083,LEAP
2018-06-25,1396065.7643490415,LEAP
2018-06-26,1402969.2295590024,LEAP
2018-06-27,1402028.8560296444,FROG
2018-06-28,1396910.2534295467,FROG
2018-06-29,1406495.5264398006,LEAP
2018-07-02,1405763.1928216366,FROG
2018-07-03,1413352.978954449,LEAP
2018-07-04,1415837.889324322,LEAP
2018-07-05,1413983.3036614803,LEAP
2018-07-06,1410606.117839947,LEAP
2018-07-09,1415920.280895367,LEAP
2018-07-10,1418180.5163384823,LEAP
2018-07-11,1427343.6395074276,LEAP
2018-07-12,1427281.6719170955,LEAP
2018-07-13,1428006.8813287166,LEAP
2018-07-16,1425046.3948852352,LEAP
2018-07-17,1424757.3818237118,LEAP
2018-07-18,1418129.1298705868,LEAP
2018-07-19,1415086.4910156063,LEAP
2018-07-20,1421067.9841491512,LEAP
2018-07-23,1429722.3501464657,LEAP
2018-07-24,1428491.4940673641,LEAP
2018-07-25,1425839.0296813778,LEAP
2018-07-26,1427116.8249084286,LEAP
2018-07-27,1429565.3157836727,LEAP
2018-07-30,1426472.6415283016,LEAP
2018-07-31,1437730.0263549618,LEAP
2018-08-01,1442390.332842999,LEAP
2018-08-02,1439548.8515807919,LEAP
2018-08-03,1438481.5856200985,LEAP
2018-08-06,1436357.7839233212,LEAP
2018-08-07,1433061.744219952,LEAP
2018-08-08,1439228.2855712704,LEAP
2018-08-09,1440879.2011901669,LEAP
2018-08-10,1441217.676440411,LEAP
2018-08-13,1446671.660601788,LEAP
2018-08-14,1450610.863726788,LEAP
2018-08-16,1453073.7238342098,LEAP
2018-08-17,1460167.4270507626,LEAP
2018-08-20,1457963.1390563778,LEAP
2018-08-21,1459555.7788574032,LEAP
2018-08-23,1471314.6384765438,LEAP
2018-08-24,1465478.4145385555,LEAP
2018-08-27,1471166.3454467587,LEAP
2018-08-28,1470250.019610577,LEAP
2018-08-29,1466080.809405499,LEAP
2018-08-30,1469828.7568542294,LEAP
2018-08-31,1477383.5413390927,LEAP
2018-09-03,1461083.5098754696,LEAP
2018-09-04,1453199.4817687802,LEAP
2018-09-05,1441628.582110577,LEAP
2018-09-06,1442546.0906249813,LEAP
2018-09-07,1447370.1024963192,LEAP
2018-09-10,1441239.2298461727,LEAP
2018-09-11,1428751.8340942196,LEAP
2018-09-12,1439459.004992657,LEAP
2018-09-14,1442252.3821594052,LEAP
2018-09-17,1435337.4308349423,LEAP
2018-09-18,1434988.9573890497,FROG
2018-09-19,1431216.1218177606,FROG
2018-09-21,1419564.1976539423,FROG
2018-09-24,1411098.147887249,FROG
2018-09-25,1421932.1185293389,FROG
2018-09-26,1415606.3308096123,FROG
2018-09-27,1415786.996489544,FROG
2018-09-28,1415907.9788503838,FROG
